date,total_cas_confirmes,total_deces_hopital,total_deces_ehpad,total_cas_confirmes_ehpad,total_cas_possibles_ehpad,patients_reanimation,patients_hospitalises,total_patients_gueris,nouveaux_patients_hospitalises,nouveaux_patients_reanimation
3/2/2020,191,3,NaN,,,NaN,NaN,NaN,NaN,NaN
3/3/2020,212,4,NaN,,,NaN,NaN,12,NaN,NaN
3/4/2020,285,4,NaN,,,15,NaN,NaN,NaN,NaN
3/5/2020,423,7,NaN,,,23,NaN,NaN,NaN,NaN
3/6/2020,613,9,NaN,,,39,NaN,NaN,NaN,NaN
3/7/2020,949,16,NaN,,,45,NaN,NaN,NaN,NaN
3/8/2020,1126,19,NaN,,,NaN,NaN,NaN,NaN,NaN
3/9/2020,1412,25,NaN,,,66,NaN,NaN,NaN,NaN
3/10/2020,1784,33,NaN,,,86,NaN,NaN,NaN,NaN
3/11/2020,2281,48,NaN,,,105,NaN,NaN,NaN,NaN
3/12/2020,2876,61,NaN,,,129,NaN,NaN,NaN,NaN
3/13/2020,3661,79,NaN,,,NaN,NaN,NaN,NaN,NaN
3/14/2020,4500,91,NaN,,,300,NaN,NaN,NaN,NaN
3/15/2020,5423,127,NaN,,,NaN,400,NaN,NaN,NaN
3/16/2020,6633,148,NaN,,,NaN,NaN,NaN,NaN,NaN
3/17/2020,7730,175,NaN,,,699,2579,602,NaN,NaN
3/18/2020,9134,264,NaN,,,931,3626,1000,,
3/19/2020,10995,372,NaN,,,1122,4461,1300,2229,438
3/20/2020,12612,450,NaN,,,1297,5226,1587,1256,242
3/21/2020,14459,562,NaN,,,1525,6172,1811,1540,298
3/22/2020,16689,674,NaN,,,1746,7240,2200,1534,309
3/23/2020,19856,860,NaN,,,2082,8675,2567,2053,448
3/24/2020,22302,1100,NaN,,,2516,10176,3281,2618,571
3/25/2020,25233,1331,NaN,,,2827,11539,3900,3166,607
3/26/2020,29155,1696,NaN,,,3375,13904,4948,3097,612
3/27/2020,32964,1995,NaN,,,3787,15732,5698,3059,608
3/28/2020,37575,2314,NaN,,,4273,17620,6624,3353,695
3/29/2020,40174,2606,NaN,,,4632,19354,7131,2685,543
3/30/2020,44550,3024,NaN,,,5107,21008,7924,3108,694
3/31/2020,52128,3523,NaN,,,5565,22757,9444,4146,767
4/1/2020,56989,4032,371,,,6017,24639,10935,4281,771
4/2/2020,59105,4503,884,,,6399,26246,12428,3845,728
4/3/2020,64338,5091,1416,,,6662,27432,14008,3627,640
4/4/2020,68605,5532,2028,,,6838,28143,15438,2822,502
4/5/2020,70478,5889,2189,,,6978,28891,16183,1931,390
4/6/2020,74390,6494,2417,,,7072,29722,17250,2754,478
4/7/2020,78167,7091,3237,,,7131,30027,19337,3277,518
4/8/2020,82048,7632,3237,,,7148,30375,21254,3139,482
4/9/2020,86334,8044,4166,,,7066,30767,23206,2990,369
4/10/2020,90676,8598,4599,,,7004,31267,24932,3161,431
4/11/2020,93790,8943,4889,,,6883,31320,26391,2044,255
4/12/2020,95403,9253,5140,11958,25230,6845,31826,27186,1688,220
4/13/2020,98076,9588,5379,12481,26222,6821,32113,27718,1257,227
4/14/2020,103573,10129,5600,13050,26680,6730,32292,28805,1965,275
4/15/2020,106206,10643,6524,14393,27264,6457,31779,30995,2415,284
4/16/2020,108847,11060,6860,18967,37213,6248,31305,32812,2084,270
4/17/2020,109252,11478,7203,20272,38717,6027,31190,34420,2166,242
4/18/2020,111821,11842,7481,22163,39972,5833,30639,35983,1565,206
4/19/2020,112606,12069,7649,23048,40288,5744,30610,36578,890,137
4/20/2020,114657,12513,7752,23668,40726,5683,30584,37409,1464,208
4/21/2020,117324,12900,7896,,,5433,30106,39181,1885,190
